,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00
Georgia,13,0,0,13,7396,15,0,0,15,15426,15,0,0,15,23012,24,0,0,24,29949,24,0,0,24,37220,25,0,0,25,43581,30,0,0,30,49275,33,0,0,33,54628,33,0,1,32,60179,34,0,1,33,65926,38,0,1,37,72061,40,0,1,39,77993,43,0,1,42,84709,49,0,1,48,90272,54,0,3,51,96109,61,0,8,53,103165,70,0,9,61,110489,75,0,10,65,117376,79,0,11,68,123969,83,0,14,69,130296,90,0,14,76,136677,91,0,18,73,143099,103,0,20,83,150277,110,0,21,89,156925,117,0,23,94,164129,134,0,26,108,171490,155,0,28,127,178242,162,1,36,125,185181,174,2,36,136,191694,188,2,39,147,198857,196,3,46,147,206077,211,3,50,158,213347,218,3,51,164,220526,234,3,54,177,227960,242,3,60,179,234710
Guernsey,0,0,0,0,45,0,0,0,0,157,0,0,0,0,247,0,0,0,0,364,0,0,0,0,452,0,0,0,0,526,1,0,0,1,603,1,0,0,1,665,1,0,0,1,740,0,0,0,0,820,0,0,0,0,911,0,0,0,0,986,0,0,0,0,1055,0,0,0,0,1130,0,0,0,0,1186,0,0,0,0,1272,0,0,0,0,1349,0,0,0,0,1446,0,0,0,0,1535,0,0,0,0,1592,0,0,0,0,1670,0,0,0,0,1741,0,0,0,0,1811,0,0,0,0,1888,0,0,0,0,1957,0,0,0,0,2024,0,0,0,0,2104,0,0,0,0,2145,0,0,0,0,2203,0,0,0,0,2276,0,0,0,0,2366,0,0,0,0,2435,0,0,0,0,2509,0,0,0,0,2582,0,0,0,0,2640
Ghana,0,0,0,0,2254,0,0,0,0,5226,0,0,0,0,8507,0,0,0,0,12600,0,0,0,0,18178,0,0,0,0,25576,3,0,0,3,29707,6,0,0,6,35538,6,0,0,6,41581,7,0,0,7,47865,7,0,0,7,53738,11,0,0,11,60470,16,0,0,16,66768,19,1,0,18,72831,24,1,0,23,79135,27,2,0,25,86803,53,2,0,51,94781,93,4,0,89,102602,132,4,1,127,109551,137,4,2,131,117043,141,5,2,134,123856,152,5,2,145,129333,152,5,2,145,135260,161,5,31,125,141471,195,5,31,159,146877,204,5,31,168,151767,205,5,31,169,156974,205,5,31,169,163133,214,5,31,178,169435,214,5,31,178,175821,287,5,31,251,182026,313,6,34,273,188446,378,6,3,369,195291,378,6,4,368,201404,408,8,4,396,208052
Gibraltar,1,0,0,1,157,1,0,0,1,304,1,0,1,0,502,1,0,1,0,780,1,0,1,0,922,1,0,1,0,1024,1,0,1,0,1154,1,0,1,0,1328,1,0,1,0,1423,1,0,1,0,1550,1,0,1,0,1685,1,0,1,0,1802,1,0,1,0,1940,1,0,1,0,2068,1,0,1,0,2209,1,0,1,0,2311,1,0,1,0,2446,1,0,1,0,2577,1,0,1,0,2688,1,0,1,0,2817,1,0,1,0,2920,1,0,1,0,3059,1,0,1,0,3174,1,0,1,0,3287,1,0,1,0,3403,1,0,1,0,3496,1,0,1,0,3618,1,0,1,0,3757,1,0,1,0,3866,1,0,1,0,4003,1,0,1,0,4129,1,0,1,0,4262,1,0,1,0,4366,1,0,1,0,4466,1,0,1,0,4586
Guinea,0,0,0,0,168,0,0,0,0,331,0,0,0,0,537,0,0,0,0,735,0,0,0,0,966,1,0,0,1,1249,1,0,0,1,1505,1,0,0,1,1787,1,0,0,1,2063,1,0,0,1,2341,1,0,0,1,2694,1,0,0,1,3134,1,0,0,1,3470,2,0,0,2,3730,2,0,0,2,3975,4,0,0,4,4310,4,0,0,4,4748,4,0,0,4,5100,4,0,0,4,5505,8,0,0,8,5958,8,0,0,8,6453,16,0,0,16,6928,22,0,0,22,7435,22,0,0,22,7932,30,0,0,30,8359,52,0,0,52,8795,73,0,2,71,9341,111,0,5,106,9791,121,0,5,116,10197,128,0,5,123,10728,144,0,5,139,11177,164,0,5,159,11602,194,0,11,183,12018,212,0,15,197,12599,250,0,17,233,13060
Guadeloupe,0,0,0,0,560,0,0,0,0,1098,0,0,0,0,1738,0,0,0,0,2240,0,0,0,0,2874,0,0,0,0,3608,0,0,0,0,4294,0,0,0,0,5146,0,0,0,0,6084,0,0,0,0,6881,0,0,0,0,7574,0,0,0,0,8344,0,0,0,0,9026,0,0,0,0,9624,0,0,0,0,10188,0,0,0,0,10635,0,0,0,0,11071,0,0,0,0,11553,0,0,0,0,11922,0,0,0,0,12493,0,0,0,0,13067,0,0,0,0,13669,0,0,0,0,14137,0,0,0,0,14559,0,0,0,0,14945,0,0,0,0,15359,0,0,0,0,15871,0,0,0,0,16358,0,0,0,0,16743,0,0,0,0,17107,0,0,0,0,17547,0,0,0,0,17964,0,0,0,0,18470,0,0,0,0,18873,0,0,0,0,19262
Gambia,0,0,0,0,37,0,0,0,0,83,0,0,0,0,164,0,0,0,0,240,0,0,0,0,321,0,0,0,0,398,0,0,0,0,474,0,0,0,0,558,0,0,0,0,667,1,0,0,1,813,1,0,0,1,1003,1,0,0,1,1133,1,0,0,1,1261,1,0,0,1,1418,1,0,0,1,1563,2,1,0,1,1720,3,1,0,2,1873,3,1,0,2,1979,3,1,0,2,2120,3,1,0,2,2254,3,1,0,2,2431,4,1,0,3,2563,4,1,0,3,2670,4,1,0,3,2801,4,1,2,1,2943,4,1,2,1,3083,4,1,2,1,3213,4,1,2,1,3346,4,1,2,1,3444,4,1,2,1,3580,4,1,2,1,3723,4,1,2,1,3852,4,1,2,1,4013,4,1,2,1,4131,9,1,2,6,4459
Guinea-Bissau,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,7,0,0,0,0,8,0,0,0,0,10,0,0,0,0,10,0,0,0,0,12,0,0,0,0,12,0,0,0,0,12,2,0,0,2,14,2,0,0,2,16,2,0,0,2,18,2,0,0,2,21,2,0,0,2,25,8,0,0,8,29,8,0,0,8,30,9,0,0,9,30,9,0,0,9,30,15,0,0,15,31,18,0,0,18,33,18,0,0,18,33,18,0,0,18,33,33,0,0,33,34,33,0,0,33,35,36,0,0,36,39,36,0,0,36,41,38,0,0,38,44
Equatorial Guinea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,1,0,0,1,4,1,0,0,1,4,1,0,0,1,4,4,0,0,4,4,6,0,0,6,4,6,0,0,6,5,6,0,0,6,6,6,0,0,6,6,9,0,0,9,8,9,0,0,9,10,9,0,0,9,11,12,0,0,12,11,12,0,0,12,11,12,0,0,12,11,12,0,0,12,11,12,0,0,12,12,12,0,1,11,12,15,0,1,14,12,15,0,1,14,12,16,0,1,15,12,16,0,1,15,12,16,0,1,15,12,16,0,3,13,12,16,0,3,13,12,18,0,3,15,12,18,0,3,15,12,18,0,3,15,12,18,0,3,15,12
Greece,73,0,0,73,1942,73,0,0,73,3840,89,0,0,89,5836,99,1,0,98,7697,99,1,0,98,9235,190,1,0,189,10579,228,3,8,217,11989,331,4,8,319,13692,331,4,8,319,15327,387,5,8,374,16855,418,5,8,405,18408,418,6,8,404,19992,495,6,19,470,21474,530,13,19,498,22933,624,15,19,590,24396,695,17,29,649,25894,743,20,29,694,27364,821,22,36,763,28772,892,26,36,830,30297,966,28,52,886,31742,1061,32,52,977,33196,1156,38,52,1066,34761,1212,43,52,1117,36361,1314,49,52,1213,37886,1415,50,52,1313,39380,1544,53,61,1430,41057,1613,63,78,1472,42756,1673,68,78,1527,44488,1735,73,78,1584,46299,1755,79,269,1407,47981,1832,81,269,1482,49803,1884,83,269,1532,51656,1955,87,269,1599,53343,2011,92,269,1650,55074,2081,93,269,1719,56677
Grenada,0,0,0,0,35,0,0,0,0,69,0,0,0,0,105,0,0,0,0,140,0,0,0,0,215,0,0,0,0,271,0,0,0,0,317,0,0,0,0,358,0,0,0,0,408,0,0,0,0,449,0,0,0,0,501,0,0,0,0,540,0,0,0,0,599,0,0,0,0,655,1,0,0,1,703,1,0,0,1,739,1,0,0,1,776,1,0,0,1,816,7,0,0,7,859,7,0,0,7,902,7,0,0,7,952,9,0,0,9,998,9,0,0,9,1035,9,0,0,9,1059,9,0,0,9,1086,10,0,0,10,1108,12,0,0,12,1147,12,0,0,12,1173,12,0,0,12,1205,12,0,0,12,1231,12,0,0,12,1246,12,0,0,12,1274,12,0,0,12,1296,14,0,0,14,1322,14,0,0,14,1365
Greenland,0,0,0,0,109,0,0,0,0,231,0,0,0,0,319,0,0,0,0,423,0,0,0,0,495,0,0,0,0,570,0,0,0,0,643,0,0,0,0,722,1,0,0,1,826,1,0,0,1,920,1,0,0,1,1010,0,0,0,0,1099,0,0,0,0,1197,0,0,0,0,1300,0,0,0,0,1453,0,0,0,0,1571,0,0,0,0,1699,0,0,0,0,1803,0,0,0,0,1907,0,0,0,0,2001,0,0,0,0,2104,0,0,0,0,2201,0,0,0,0,2331,0,0,0,0,2435,0,0,0,0,2544,0,0,0,0,2627,0,0,0,0,2731,0,0,0,0,2816,0,0,0,0,2933,0,0,0,0,3041,0,0,0,0,3137,0,0,0,0,3226,0,0,0,0,3301,0,0,0,0,3388,0,0,0,0,3484
Guatemala,0,0,0,0,1457,0,0,0,0,2886,0,0,0,0,5045,0,0,0,0,8007,0,0,0,0,10321,0,0,0,0,13352,1,0,0,1,16464,1,0,0,1,19966,2,1,0,1,23960,6,1,0,5,27481,6,1,0,5,30873,9,1,0,8,34530,12,1,0,11,37950,17,1,0,16,41117,19,1,0,18,44257,20,1,0,19,46871,21,1,0,20,49514,24,1,4,19,52762,25,1,4,20,55485,28,1,4,23,58769,34,1,10,23,61852,34,1,10,23,64463,36,1,10,25,67001,38,1,12,25,69767,39,1,12,26,72972,47,1,12,34,76402,50,1,12,37,79960,61,2,15,44,82967,61,2,15,44,85800,70,3,15,52,88948,77,3,17,57,92053,87,3,17,67,95182,95,3,17,75,97957,126,3,17,106,101509,137,3,19,115,105408
French Guiana,5,0,0,5,10,5,0,0,5,15,5,0,0,5,31,5,0,0,5,41,5,0,0,5,53,5,0,0,5,66,5,0,0,5,75,5,0,0,5,93,11,0,0,11,122,11,0,0,11,138,11,0,0,11,150,11,0,0,11,164,15,0,0,15,175,18,0,6,12,187,18,0,6,12,192,18,0,6,12,197,18,0,6,12,211,18,0,6,12,220,18,0,6,12,227,18,0,6,12,237,18,0,6,12,246,18,0,6,12,263,18,0,6,12,270,18,0,6,12,275,18,0,6,12,289,18,0,6,12,300,18,0,6,12,313,18,0,6,12,321,18,0,6,12,331,18,0,6,12,339,18,0,6,12,346,18,0,6,12,353,18,0,6,12,358,18,0,6,12,365,18,0,6,12,372
Guam,0,0,0,0,125,0,0,0,0,273,0,0,0,0,386,0,0,0,0,564,0,0,0,0,753,0,0,0,0,940,0,0,0,0,1108,0,0,0,0,1294,3,0,0,3,1445,3,0,0,3,1655,0,0,0,0,1849,0,0,0,0,2013,0,0,0,0,2172,0,0,0,0,2322,0,1,0,-1,2465,0,1,0,-1,2644,0,1,0,-1,2792,0,1,0,-1,2953,0,1,0,-1,3114,0,1,0,-1,3264,0,1,0,-1,3414,0,1,0,-1,3528,0,1,0,-1,3665,0,1,0,-1,3794,0,1,0,-1,3921,0,1,0,-1,4060,0,1,0,-1,4185,0,1,0,-1,4295,0,1,0,-1,4418,0,1,0,-1,4538,0,1,0,-1,4691,0,1,0,-1,4863,0,1,0,-1,4997,0,1,0,-1,5130,0,1,0,-1,5291
Guyana,0,0,0,0,53,0,0,0,0,101,0,0,0,0,152,0,0,0,0,220,1,1,0,0,322,1,1,0,0,394,1,1,0,0,463,4,1,0,3,523,4,1,0,3,581,7,1,0,6,654,7,1,0,6,713,7,1,0,6,785,7,1,0,6,847,7,1,0,6,939,7,1,0,6,1014,20,1,0,19,1063,5,1,0,4,1118,5,1,0,4,1192,5,1,0,4,1266,5,1,0,4,1343,8,1,0,7,1405,8,1,0,7,1480,8,1,0,7,1566,12,2,0,10,1616,19,2,0,17,1659,19,4,0,15,1709,23,4,0,19,1763,23,4,0,19,1812,24,4,0,20,1889,31,4,8,19,1939,33,5,8,20,1994,37,6,8,23,2065,37,6,8,23,2135,37,6,8,23,2203,45,6,8,31,2273
Hong Kong,114,3,58,53,8086,115,3,59,53,12562,115,3,59,53,16720,115,3,59,53,20868,115,3,59,53,23763,115,3,59,53,27412,115,3,59,53,30760,115,3,59,53,34242,115,3,59,53,37527,115,3,59,53,41366,115,3,59,53,44719,115,3,59,53,48588,115,3,59,53,52860,115,3,59,53,56654,115,3,59,53,60292,115,3,59,53,64410,115,3,59,53,68403,115,3,59,53,73942,115,3,59,53,78623,115,3,59,53,83400,115,3,59,53,89431,115,3,59,53,97942,115,3,59,53,104262,115,3,59,53,109592,115,3,59,53,114860,115,3,59,53,124657,115,3,59,53,130788,115,3,59,53,135694,115,3,59,53,140694,115,3,59,53,145783,115,3,59,53,151059,115,3,59,53,156686,115,3,59,53,163315,115,3,59,53,168260,115,3,59,53,173364
Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,1404,0,0,0,0,2982,0,0,0,0,4276,2,0,0,2,7314,2,0,0,2,9613,2,0,0,2,11100,2,0,0,2,12855,3,0,0,3,14419,6,0,0,6,16821,8,0,0,8,18924,9,0,0,9,20967,12,0,0,12,23149,24,0,0,24,25126,24,0,0,24,26899,26,0,0,26,28448,27,0,0,27,29817,30,0,0,30,31222,36,0,0,36,32952,52,1,0,51,34778,68,1,0,67,36455,95,1,3,91,37953,110,3,3,104,39348,139,7,3,129,40781,141,7,3,131,42316,172,10,3,159,44100,219,14,3,202,45940,222,15,3,204,47500,264,15,3,246,49241,268,22,6,240,50538,298,22,6,270,52317,305,22,6,277,54067,312,22,6,284,55733,343,23,6,314,57179,382,23,7,352,59016,392,24,7,361,60786
Croatia,12,0,0,12,287,12,0,0,12,570,14,0,0,14,839,19,0,0,19,1140,19,0,0,19,1456,32,0,1,31,1694,38,0,1,37,1944,49,0,1,48,2222,57,0,2,55,2489,65,0,4,61,2763,81,0,4,77,3028,105,1,5,99,3306,128,1,5,122,3536,206,1,5,200,3760,254,1,5,248,4080,315,1,5,309,4335,382,1,5,376,4599,442,1,22,419,4878,495,3,22,470,5173,586,3,37,546,5469,657,5,45,607,5738,713,6,52,655,6045,790,6,67,717,6302,867,6,67,794,6541,963,6,73,884,6768,1011,7,88,916,7031,1079,8,92,979,7300,1126,12,119,995,7541,1182,15,125,1042,7816,1222,16,130,1076,8082,1282,18,167,1097,8357,1343,19,179,1145,8666,1407,20,219,1168,8928,1495,21,231,1243,9177,1534,21,323,1190,9435
Haiti,0,0,0,0,430,0,0,0,0,960,0,0,0,0,1464,0,0,0,0,1922,0,0,0,0,2702,0,0,0,0,3209,0,0,0,0,3655,0,0,0,0,4313,0,0,0,0,4939,0,0,0,0,5532,0,0,0,0,6244,0,0,0,0,7231,2,0,0,2,8370,2,0,0,2,9204,2,0,0,2,10098,6,0,0,6,11093,7,0,0,7,12049,8,0,0,8,12943,8,0,0,8,13685,8,0,0,8,14580,8,0,0,8,15345,15,0,1,14,16243,15,0,1,14,16999,15,0,1,14,17822,16,0,1,15,18647,16,0,1,15,19353,18,0,1,17,20144,20,0,1,19,20980,21,1,1,19,21977,24,1,0,23,22824,25,1,0,24,23778,27,1,0,26,24687,30,2,0,28,25584,31,2,0,29,26355,33,2,0,31,27235
Hungary,7,0,0,7,476,9,0,0,9,1015,9,0,0,9,1513,13,0,0,13,2122,13,0,0,13,2606,19,0,0,19,2967,30,0,1,29,3329,32,1,1,30,3734,39,1,1,37,4131,50,1,2,47,4598,58,1,2,55,5053,73,1,2,70,5485,85,3,2,80,5962,103,4,7,92,6440,131,6,16,109,6889,167,7,16,144,7360,187,9,21,157,7863,226,10,21,195,8389,261,10,28,223,8969,300,10,34,256,9541,343,11,34,298,9988,408,13,34,361,10495,447,15,34,398,11051,492,16,37,439,11556,525,20,40,465,11990,585,21,42,522,12394,623,26,43,554,12825,678,32,58,588,13216,733,34,66,633,13544,744,38,67,639,14065,817,47,71,699,14419,895,58,94,743,14853,980,66,96,818,15258,1190,77,112,1001,15548,1310,85,115,1110,15892
Indonesia,6,0,0,6,6061,19,0,0,19,14150,27,0,2,25,20438,34,1,2,31,27693,34,1,2,31,34601,69,4,2,63,42778,96,5,8,83,58015,117,5,8,104,78329,134,5,8,121,89139,172,5,8,159,101293,227,19,11,197,115439,311,25,11,275,129146,369,32,15,322,140758,450,38,15,397,162996,514,48,29,437,185258,579,49,30,500,204491,686,55,30,601,220373,790,58,31,701,231333,893,78,35,780,241638,1046,87,46,913,254219,1155,102,59,994,269195,1285,114,64,1107,284090,1414,122,75,1217,296491,1528,136,81,1311,307673,1677,157,103,1417,322410,1790,170,112,1508,331418,1986,181,134,1671,342593,2092,191,150,1751,354734,2273,198,164,1911,363732,2491,209,192,2090,374103,2738,221,204,2313,383015,2956,240,222,2494,391934,3293,280,252,2761,400391,3512,306,282,2924,408806,3842,327,286,3229,419418
Isle of Man,0,0,0,0,116,0,0,0,0,230,0,0,0,0,343,0,0,0,0,497,0,0,0,0,633,0,0,0,0,783,0,0,0,0,924,0,0,0,0,1051,0,0,0,0,1223,0,0,0,0,1378,0,0,0,0,1557,0,0,0,0,1752,0,0,0,0,1935,0,0,0,0,2078,0,0,0,0,2271,0,0,0,0,2457,0,0,0,0,2657,0,0,0,0,2837,0,0,0,0,3036,0,0,0,0,3192,0,0,0,0,3347,0,0,0,0,3530,0,0,0,0,3699,0,0,0,0,3909,0,0,0,0,4106,0,0,0,0,4276,0,0,0,0,4465,0,0,0,0,4655,0,0,0,0,4848,0,0,0,0,5051,0,0,0,0,5254,0,0,0,0,5475,0,0,0,0,5664,0,0,0,0,5834,0,0,0,0,6101
India,39,0,3,36,34778,43,0,3,40,79599,56,0,4,52,112136,62,1,4,57,151317,73,1,4,68,194797,82,2,4,76,245694,102,2,4,96,301933,113,2,13,98,370722,119,2,13,104,437763,142,3,14,125,502111,156,3,14,139,570876,194,4,15,175,653601,244,5,20,219,740260,330,4,23,303,859728,396,7,27,362,988991,499,10,34,455,1105011,536,10,40,486,1241698,657,12,43,602,1359080,727,20,45,662,1495201,887,20,73,794,1630166,987,24,84,879,1771322,1024,27,95,902,1905838,1251,32,102,1117,2043775,1397,35,123,1239,2197913,1998,58,148,1792,2335647,2543,72,191,2280,2475858,2567,72,192,2303,2616753,3082,86,229,2767,2764494,3588,99,229,3260,2925341,4778,136,375,4267,3060642,5311,150,421,4740,3197181,5916,178,506,5232,3327690,6725,226,620,5879,3465859,7598,246,774,6578,3607377,8446,288,969,7189,3758020
British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,40,0,0,40,12498,21,0,0,21,25637,34,0,0,34,38814,43,1,0,42,51188,43,1,0,42,61912,90,1,0,89,70859,129,2,0,127,82423,129,2,0,127,95262,169,2,0,167,107853,223,2,5,216,120560,292,2,5,285,132265,557,3,5,549,143087,683,3,5,675,154631,785,3,5,777,165028,906,4,5,897,176162,1125,6,5,1114,187773,1329,7,5,1317,198757,1564,9,5,1550,210387,1819,19,5,1795,221748,2121,22,5,2094,233699,2415,36,5,2374,245904,2615,46,5,2564,256872,2910,54,5,2851,268521,3235,71,5,3159,279953,3447,85,5,3357,290377,3849,98,5,3746,301220,4273,120,5,4148,312759,4604,137,25,4442,323830,4994,158,25,4811,336573,5364,174,25,5165,348413,5709,210,25,5474,360548,6074,235,25,5814,373401,6574,263,25,6286,385895,8089,287,25,7777,398633,8928,320,25,8583,411145
"Iran, Islamic Republic of",6566,194,2134,4238,856,7161,237,2394,4530,1517,8042,291,2731,5020,2016,9000,354,2959,5687,2439,10075,429,2959,6687,2782,11364,514,2959,7891,3110,12729,611,2959,9159,3437,13938,724,4590,8624,3786,14991,853,4590,9548,4100,16169,988,5389,9792,4352,17361,1135,5389,10837,4628,18407,1284,5710,11413,4940,19644,1433,6745,11466,5233,20610,1556,7635,11419,5506,21638,1685,7931,12022,6177,23049,1812,8376,12861,6809,24811,1934,8913,13964,7231,27017,2077,9625,15315,7879,29406,2234,10457,16715,8384,32332,2378,11133,18821,8936,35408,2517,11679,21212,9430,38309,2640,12391,23278,9837,41495,2757,13911,24827,10348,44605,2898,14656,27051,10802,47593,3036,15473,29084,11200,50468,3160,16711,30597,11696,53183,3294,17935,31954,12254,55743,3452,19736,32555,12767,58226,3603,19736,34887,13368,60500,3739,24236,32525,13968,62589,3872,27039,31678,14572,64586,3993,29812,30781,16465,66220,4110,32309,29801,17197,68192,4232,35465,28495,17631,70029,4357,41947,23725,18211
Iraq,60,6,0,54,576,60,6,9,45,1128,71,7,3,61,1664,71,7,15,49,2099,71,8,15,48,2510,101,9,24,68,2865,110,10,26,74,3246,116,10,26,80,3667,124,10,26,88,4057,154,11,32,111,4400,164,12,43,109,4848,192,13,43,136,5370,208,17,49,142,5813,214,17,51,146,6210,233,20,57,156,6679,266,23,62,181,7231,316,27,75,214,7721,346,29,103,214,8214,382,36,105,241,8631,458,40,122,296,9198,506,42,131,333,9712,547,42,143,362,10161,630,46,152,432,10573,694,50,170,474,11011,728,52,182,494,11364,772,54,202,516,11825,820,54,226,540,12293,878,56,259,563,12772,961,61,279,621,13336,1031,64,344,623,13833,1122,65,373,684,14417,1202,69,452,681,14888,1232,69,496,667,15302,1279,70,550,659,15693,1318,72,601,645,16161
